,SentID,Cause,Effect,Label,Sent
6,7,infection,inflammation,1,The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
13,14,pressure,burst,1,The burst has been caused by water hammer pressure.
22,23,singer,commotion,1,"The singer, who performed three of the nominated songs, also caused a commotion on the red carpet."
26,27,suicide,death,1,"Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide."
31,32,mold,headaches,1,He had chest pains and headaches from mold in the bedrooms.
38,39,stress,divorce,1,Financial stress is one of the main causes of divorce.
40,41,women,accident,1,The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
44,45,skin abnormality,calluses,1,Calluses are caused by improperly fitting shoes or by a skin abnormality.
47,48,comet,meteor shower,1,"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
50,51,bomb explosion,radiation,1,The radiation from the atomic bomb explosion is a typical acute radiation.
52,53,radiation,recurrence,1,A neoplastic recurrence arose from an extensive radiation induced ulceration.
53,54,stitches,scars,1,He has a tattoo on his right arm and scars from stitches on his right elbow.
70,71,vaccine,outbreak,1,The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
72,73,fuel,fire,1,The fire inside WTC was caused by exploding fuel.
75,76,terrorists,suffering,1,The suffering caused by the terrorists is the real torture.
78,79,band,tsunami,1,"In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965."
79,80,corrosion,leakage,1,Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
82,83,ball,noise,1,The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
87,88,earthquake,damage,1,Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
88,89,officers,suffering,1,"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers."
96,97,crash,recession,1,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
