,head,type,tail,Confidence
0,natural language,studied by,linguistics,0.029411764705882353
1,computer science,has part,artificial intelligence,0.23529411764705882
2,artificial intelligence,part of,computer science,0.23529411764705882
3,Natural language processing,subclass of,linguistics,0.14705882352941177
4,Natural language processing,subclass of,artificial intelligence,0.14705882352941177
5,Natural language processing,subclass of,computer science,0.08823529411764706
6,Natural language processing,part of,computer science,0.029411764705882353
7,Natural language processing,part of,artificial intelligence,0.029411764705882353
8,Natural language processing,studies,natural language,0.029411764705882353
9,natural language,studied by,Natural language processing,0.029411764705882353
10,language,part of,documents,0.1
11,language,part of,document,0.1
12,context,facet of,language,0.1
13,language,used by,documents,0.1
14,contextual nuances,facet of,language,0.1
15,contextual nuances,subclass of,language,0.1
16,context,subclass of,language,0.1
17,language,use,documents,0.1
18,context,part of,language,0.1
19,understanding,facet of,language,0.1
20,insights,subclass of,information,0.09090909090909091
21,insight,subclass of,information,0.09090909090909091
22,information,has effect,insights,0.18181818181818182
23,insights,has cause,information,0.09090909090909091
24,classify,part of,organize,0.09090909090909091
25,insights,facet of,information,0.09090909090909091
26,categorize,part of,organize,0.09090909090909091
27,insights,subclass of,extract information,0.09090909090909091
28,insights contained in the documents,subclass of,information,0.09090909090909091
29,categorize,subclass of,organize,0.09090909090909091
30,speech recognition,part of,natural language processing,0.0625
31,speech recognition,subclass of,natural language processing,0.0625
32,natural-language understanding,studies,speech recognition,0.0625
33,natural-language generation,part of,natural language processing,0.0625
34,natural-language generation,facet of,natural language processing,0.0625
35,natural-language understanding,studied by,natural language processing,0.125
36,natural-language generation,subclass of,natural language processing,0.0625
37,natural language processing,studies,speech recognition,0.1875
38,speech recognition,studied by,natural language processing,0.125
39,natural language processing,studies,natural-language understanding,0.0625
40,natural language processing,studies,natural-language generation,0.0625
41,natural-language generation,studied by,natural language processing,0.0625
42,1950s,point in time,1950,0.1
43,Natural language processing,inception,1950,0.1
44,Language processing,inception,1950,0.1
45,Natural language processing,start time,1950,0.1
46,History,facet of,Natural language processing,0.1
47,natural language processing,inception,1950,0.1
48,History,start time,1950,0.1
49,History,point in time,1950,0.1
50,Language processing,part of,Natural,0.1
51,Language processing,studies,Natural language,0.1
52,Turing test,named after,Alan Turing,0.34782608695652173
53,Alan Turing,notable work,Turing test,0.17391304347826086
54,Computing Machinery and Intelligence,publication date,1950,0.13043478260869565
55,Computing Machinery and Intelligence,author,Alan Turing,0.17391304347826086
56,Turing test,discoverer or inventor,Alan Turing,0.08695652173913043
57,Turing test,facet of,artificial intelligence,0.043478260869565216
58,Alan Turing,field of work,artificial intelligence,0.043478260869565216
59,natural language,studied by,interpretation,0.16666666666666666
60,natural language,subclass of,interpretation,0.08333333333333333
61,natural language,use,interpretation,0.08333333333333333
