,head,type,tail,Confidence
0,Google Summer of Code,organizer,Google,0.15384615384615385
1,Google Summer of Code,conferred by,Google,0.07692307692307693
2,Google Summer of Code,founded by,Google,0.07692307692307693
3,Google Summer of Code,creator,Google,0.07692307692307693
4,Google Summer of Code,named after,Google,0.07692307692307693
5,free,said to be the same as,open-source,0.15384615384615385
6,open-source,said to be the same as,free,0.07692307692307693
7,Google,participant in,Google Summer of Code,0.07692307692307693
8,free,said to be the same as,open-source software,0.07692307692307693
9,open-source software,said to be the same as,free,0.07692307692307693
10,Google Summer of Code,operator,Google,0.07692307692307693
11,2022,point in time,2022,0.08333333333333333
12,recent graduates,subclass of,students,0.08333333333333333
13,graduates,subclass of,students,0.08333333333333333
14,students,different from,graduates,0.16666666666666666
15,graduates,different from,students,0.08333333333333333
16,2016 Summer Olympics,point in time,2016,0.08333333333333333
17,students,different from,recent graduates,0.16666666666666666
18,recent graduates,different from,students,0.08333333333333333
19,students,followed by,graduates,0.08333333333333333
20,2020 Summer Olympics,point in time,2020,0.08333333333333333
21,2005,followed by,August 2005,0.16666666666666666
22,August 2005,point in time,August 2005,0.08333333333333333
23,August 2005,follows,2005,0.08333333333333333
24,2005,point in time,2005,0.08333333333333333
25,2005,point in time,August 2005,0.08333333333333333
26,2004 Summer Olympics,point in time,2004,0.08333333333333333
27,2008 Summer Olympics,point in time,2008,0.08333333333333333
28,May to August 2005,end time,August 2005,0.08333333333333333
29,2006 Commonwealth Games,point in time,2006,0.08333333333333333
30,May,followed by,August 2005,0.08333333333333333
31,August 2005,follows,May,0.08333333333333333
32,purchasing power parity,country,country,0.1
33,purchasing power parity,country,country where they are located,0.1
34,purchasing power parity,facet of,country where they are located,0.1
35,purchasing power parity,facet of,country,0.1
36,purchasing power parity,applies to jurisdiction,country,0.1
37,purchasing power parity,applies to jurisdiction,country where they are located,0.1
38,parity,subclass of,purchasing power,0.1
39,purchasing power parity,location,country where they are located,0.1
40,parity,facet of,purchasing power,0.1
41,purchasing power parity,location,country,0.1
42,open-source,subclass of,software development,0.1
43,host organization,field of work,open-source software,0.1
44,open-source software,developer,host organization,0.1
45,host organization,field of work,software development,0.1
46,host organization,field of work,open-source software development,0.1
47,open-source software,has part,host organization,0.1
48,host organizations,field of work,open-source software,0.1
49,host organizations,field of work,open-source software development,0.1
50,open-source software development,has part,host organization,0.1
51,open-source software development,participant,host organization,0.1
52,Google,founded by,Sergey Brin,0.2631578947368421
53,Google,founded by,Larry Page,0.2631578947368421
54,Larry Page,influenced by,Sergey Brin,0.05263157894736842
55,Sergey Brin,employer,Google,0.10526315789473684
56,Larry Page,employer,Google,0.15789473684210525
57,Google's,founded by,Sergey Brin,0.05263157894736842
58,Google's,founded by,Larry Page,0.05263157894736842
59,Summer of Code,founded by,Sergey Brin,0.05263157894736842
60,Leslie Hawthorn,work period (start),2006,0.08333333333333333
61,2006,point in time,2006,0.16666666666666666
62,Leslie Hawthorn,occupation,program manager,0.08333333333333333
63,Leslie Hawthorn,inception,2006,0.08333333333333333
64,2009,point in time,2009,0.25
65,2007,point in time,2007,0.16666666666666666
66,2008 Summer Olympics,point in time,2008,0.08333333333333333
67,2007,followed by,2009,0.08333333333333333
68,Carol Smith,occupation,program manager,0.09090909090909091
69,2010,point in time,2010,0.18181818181818182
70,2015,point in time,2015,0.09090909090909091
71,Carol Smith,work period (start),2010,0.09090909090909091
72,program manager,officeholder,Carol Smith,0.09090909090909091
73,Carol Smith,position held,program manager,0.09090909090909091
74,program manager,facet of,Carol Smith,0.09090909090909091
75,2008 Summer Olympics,point in time,2008,0.09090909090909091
76,program manager,has part,Carol Smith,0.09090909090909091
77,program manager,inception,2010,0.09090909090909091
78,Stephanie Taylor,work period (start),2016,0.18181818181818182
79,2016,point in time,2016,0.18181818181818182
80,2008 Summer Olympics,point in time,2008,0.09090909090909091
81,Stephanie Taylor,point in time,2016,0.09090909090909091
82,Stephanie Taylor,inception,2016,0.09090909090909091
83,2012 Summer Olympics,point in time,2012,0.09090909090909091
84,2012 Olympic Games,point in time,2012,0.09090909090909091
85,2010 FIFA World Cup,point in time,2010,0.09090909090909091
86,2014 FIFA World Cup,point in time,2014,0.09090909090909091
87,2014,point in time,2014,0.1
88,2018,point in time,2018,0.1
89,2015,point in time,2015,0.1
90,2013,point in time,2013,0.1
91,2016 Summer Olympics,point in time,2016,0.1
92,Timeline,subclass of,overview,0.1
93,2012 Summer Olympics,point in time,2012,0.1
94,2017,point in time,2017,0.1
95,Timeline,instance of,overview,0.1
96,Timeline,facet of,year,0.1
97,open-source,subclass of,organizations,0.07692307692307693
98,open-source,subclass of,organization,0.07692307692307693
99,open-source,practiced by,organizations,0.07692307692307693
100,organizations,field of this occupation,open-source,0.07692307692307693
101,open-source,instance of,organizations,0.07692307692307693
102,open-source,facet of,organizations,0.07692307692307693
103,open-source organizations,subclass of,participate,0.07692307692307693
104,open-source,has part,organizations,0.07692307692307693
105,organizations,part of,open-source,0.07692307692307693
106,open-source organizations,subclass of,apply to participate,0.07692307692307693
107,open-source organization,subclass of,apply to participate,0.07692307692307693
108,open-source organization,has part,apply to participate,0.07692307692307693
109,apply to participate,part of,open-source organization,0.07692307692307693
110,development communities,has part,contributors,0.16666666666666666
111,contributors,part of,development communities,0.16666666666666666
112,development community,has part,contributors,0.16666666666666666
113,community,has part,contributors,0.08333333333333333
