Subject,Predicate,Object
Lincoln Memorial,dedicated_to,Abraham Lincoln
Thomas Edison,invented,Phonograph
Royal Shakespeare Company,known_for,Shakespearean Productions
Steven Spielberg,directed,Jurassic Park
NASA,landed,Curiosity Rover on Mars
J.K. Rowling,authored,Harry Potter Series
Frank Lloyd Wright,designed,Fallingwater
Tokyo,hosted,2020 Summer Olympics
Louvre Museum,houses,Mona Lisa
Marie Curie,discovered,Radium
Rosetta Stone,helped_translate,Egyptian Hieroglyphs
Martin Luther King Jr.,led,Civil Rights Movement
Albert Einstein,developed,Theory of Relativity
Vincent van Gogh,painted,Starry Night
Socrates,was_a,Philosopher
Barack Obama,was,44th President of the United States
Usain Bolt,set,World Record in 100 meters
Alexander Graham Bell,invented,Telephone
The Beatles,popularized,Rock Music
George Orwell,wrote,1984
Charles Darwin,proposed,Theory of Evolution
Galileo Galilei,observed,Moons of Jupiter
Nelson Mandela,fought_against,Apartheid
Ludwig van Beethoven,composed,Ninth Symphony
UNESCO,protects,World Heritage Sites
Ansel Adams,photographed,American Landscapes
Meryl Streep,won,Multiple Academy Awards
Sigmund Freud,founded,Psychoanalysis
Steve Jobs,co-founded,Apple Inc.
Roman Empire,spanned,Europe Asia and Africa
Christopher Columbus,discovered,Americas
Great Wall of China,built_for,Protection against invasions
Mahatma Gandhi,led,Indian Independence Movement
Nikola Tesla,contributed_to,Development of AC Electricity
Jane Austen,authored,Pride and Prejudice
Henry Ford,founded,Ford Motor Company
James Watson and Francis Crick,discovered,Double Helix Structure of DNA
Walt Disney,founded,The Walt Disney Company
Pablo Picasso,co-founded,Cubism
Isaac Newton,formulated,Laws of Motion
Amelia Earhart,was_first_woman,to Fly Solo Across the Atlantic
Leonardo da Vinci,painted,The Last Supper
Jane Goodall,studied,Chimpanzees
Stephen Hawking,known_for,Work on Black Holes
Homer,authored,The Odyssey
Emily Dickinson,known_for,Poetry
Martin Luther,initiated,Protestant Reformation
Ferdinand Magellan,led,First Circumnavigation of the Earth
Johann Sebastian Bach,composed,Brandenburg Concertos
Galileo Galilei,championed,Heliocentrism
Julius Caesar,led,Roman Republic
Cleopatra,ruled,Ancient Egypt
George Washington,was_first_president,of the United States
James Joyce,authored,Ulysses
Florence Nightingale,founded,Modern Nursing
Carl Sagan,popularized,Science
Aristotle,was_a,Greek Philosopher
Wright Brothers,invented,Airplane
Niels Bohr,proposed,Bohr Model of Atom
Anne Frank,wrote,Diary of a Young Girl
Marco Polo,traveled,Silk Road
Vincent van Gogh,associated_with,Post-Impressionism
Beethoven,bridged,Classical and Romantic Music
Aung San Suu Kyi,advocated_for,Democracy in Myanmar
Salvador Dalí,known_for,Surrealist Art
Marie Curie,awarded,Nobel Prize in Physics and Chemistry
Leonardo da Vinci,designed,Flying Machines
J.K. Rowling,inspired,Young Readers
Bill Gates,co-founded,Microsoft
Stephen King,known_for,Horror Fiction
Frederick Douglass,campaigned_for,Abolition of Slavery
Albert Einstein,revolutionized,Physics
Elon Musk,founded,SpaceX
Galileo Galilei,proved,Heliocentric Theory
Winston Churchill,led,United Kingdom during World War II
Hillary Clinton,was_first_female_candidate,for U.S. Presidency from a Major Party
Shakira,popularized,Latin Pop Music
Martin Scorsese,directed,Goodfellas
Malala Yousafzai,advocates_for,Girls' Education
Ayn Rand,developed,Objectivist Philosophy
Thomas Jefferson,authored,Declaration of Independence
Harriet Tubman,led,Underground Railroad
James Cameron,directed,Avatar
Alfred Hitchcock,known_for,Suspense Films
Neil Armstrong,first_human,to Walk on the Moon
John F. Kennedy,inspired,Space Exploration
Oprah Winfrey,influences,American Culture
Stephen Hawking,wrote,A Brief History of Time
Jane Austen,known_for,Social Commentary in Novels
Elvis Presley,known_as,King of Rock and Roll
Mother Teresa,founded,Missionaries of Charity
William Shakespeare,wrote,Hamlet
Mozart,composed,The Magic Flute
Plato,founded,The Academy in Athens
Michael Jackson,known_as,King of Pop
Frida Kahlo,painted,The Two Fridas
Charles Dickens,authored,A Tale of Two Cities
Alexander the Great,conquered,Persian Empire
Galileo Galilei,improved,Telescope
Isaac Newton,authored,Principia Mathematica
Cleopatra,known_for,Alliance with Julius Caesar and Mark Antony
Marie Antoinette,was_last_queen,of France before the French Revolution
Rosa Parks,refused_to,Give Up Her Bus Seat
Albert Einstein,developed,Theory of General Relativity
Jane Austen,wrote,Sense and Sensibility
Thomas Edison,developed,Electric Light Bulb
Nelson Mandela,was_first_black_president,of South Africa
