1	शक्तिरूपी माया	सििद्ध होती है	कार्यरूप जगत को देखकर ही
1	कार्यरूप जगत	देखकर	शक्तिरूपी माया
2	अंगुलि चिह्न विज्ञान प्रतियोगिता	आयोजित करना	अखिल भारतीय पुलिस डयूटी मीट
2	अखिल भारतीय पुलिस डयूटी मीट	property	( 1958 से  )
2	अखिल भारतीय पुलिस डयूटी मीट	आयोजित करना	अंगुलि चिह्न विज्ञान प्रतियोगिता
3	विवादित अंगुलि चिह्नों	भेजे गए	उपक्रमों
3	उपक्रमों	property	विभागों
3	विभागों	property	केन्द्रीय सरकार
3	भारत सरकार	property	केन्द्रीय सरकार
3	केन्द्रीय सरकार	भेजे गए	विवादित अंगुलि चिह्नों
3	भारत सरकार	भेजे गए	विवादित अंगुलि चिह्नों
3	विभागों	परीक्षण करना	विवादित अंगुलि चिह्नों
3	उपक्रमों	भेजे गए	विवादित अंगुलि चिह्नों
3	उपक्रमों	विवादित अंगुलि चिह्नों भेजे गए	केन्द्रीय सरकार
3	उपक्रमों	विवादित अंगुलि चिह्नों भेजे गए	भारत सरकार
3	उपक्रमों	property विभागों	केन्द्रीय सरकार
3	विभागों	property केन्द्रीय सरकार	भारत सरकार
3	केन्द्रीय सरकार	भेजे गए विवादित अंगुलि चिह्नों	भारत सरकार
3	उपक्रमों	भेजे गए विवादित अंगुलि चिह्नों	केन्द्रीय सरकार
3	उपक्रमों	भेजे गए विवादित अंगुलि चिह्नों	भारत सरकार
4	यह एजेंट	मौजूद है	बारह पुस्तकों
4	गुप्त नाम	property	007
4	बारह पुस्तकों	property	फ़्लेमिंग
4	दो लघुकथाओं	property	फ़्लेमिंग
4	007	प्रसिद्ध	गुप्त नाम
4	यह एजेंट	मौजूद	फ़्लेमिंग
4	फ़्लेमिंग	मौजूद	बारह पुस्तकों
4	फ़्लेमिंग	मौजूद	दो लघुकथाओं
4	बारह पुस्तकों	property फ़्लेमिंग	दो लघुकथाओं
4	यह एजेंट	मौजूद फ़्लेमिंग	बारह पुस्तकों
4	यह एजेंट	मौजूद फ़्लेमिंग	दो लघुकथाओं
4	बारह पुस्तकों	फ़्लेमिंग मौजूद	दो लघुकथाओं
5	उन्होंने	की	एक पत्रिका ' साधु ' शुरू
5	01 अगस्त 1907	की	उन्होंने
5	एक पत्रिका ' साधु ' शुरू	property	अपनी
5	एक पत्रिका ' साधु ' शुरू	उन्होंने की	01 अगस्त 1907
6	नवीनतम वेतनमानों	लागू किया गया है	01 अप्रैल 2009
6	कंपनी	लागू किया गया है	नवीनतम वेतनमानों
6	01 अप्रैल 2009	लागू किया गया है	कंपनी
6	नवीनतम वेतनमानों	लागू किया गया है	कंपनी
6	01 अप्रैल 2009	नवीनतम वेतनमानों लागू किया गया है	कंपनी
7	सुनवाई	शुरू हुई	साबरमती केंद्रीय जेल के अंदर
7	सुनवाई	property	गोधरा ट्रेन कांड
7	गोधरा ट्रेन कांड	property	01 जून :
7	साबरमती केंद्रीय जेल के अंदर	property	अहमदाबाद
7	01 जून :	हुआ	गोधरा ट्रेन कांड की सुनवाई
7	गोधरा ट्रेन कांड	शुरू हुई	सुनवाई
7	सुनवाई	शुरू हुई	अहमदाबाद
7	साबरमती केंद्रीय जेल के अंदर	सुनवाई शुरू हुई	गोधरा ट्रेन कांड
7	साबरमती केंद्रीय जेल के अंदर	सुनवाई शुरू हुई	अहमदाबाद
7	सुनवाई	property गोधरा ट्रेन कांड	01 जून :
7	गोधरा ट्रेन कांड	शुरू हुई सुनवाई	अहमदाबाद
8	वे	नियुक्त हुई	न्यायाधीश
8	06 अक्टूबर 1989	नियुक्त हुई	वे
8	न्यायाधीश	property	सर्वोच्च न्यायालय
8	06 अक्टूबर 1989	हुआ	नियुक्त हुई
8	वे	नियुक्त हुई	सर्वोच्च न्यायालय
8	न्यायाधीश	वे नियुक्त हुई	06 अक्टूबर 1989
8	न्यायाधीश	वे नियुक्त हुई	सर्वोच्च न्यायालय
8	06 अक्टूबर 1989	नियुक्त हुई वे	सर्वोच्च न्यायालय
9	06 प्रतिशत	ऐसे लोग थे	जिनका कोई विशेष धर्म नहीं था
9	06 प्रतिशत	is	ऐसे लोग
10	इम्पीरियल पोस्टल सर्विस	जारी किया गया	पहला डाक टिकट
10	1 अक्टूबर 1854	जारी किया गया	इम्पीरियल पोस्टल सर्विस
10	1 अक्टूबर 1854	हुआ	जारी किया गया
10	पहला डाक टिकट	इम्पीरियल पोस्टल सर्विस जारी किया गया	1 अक्टूबर 1854
11	आंध्र ने	पाया	कर्नूल
11	दर्जा	पाया	1 अक्टूबर 1953
11	दर्जा	property	राज्य
11	आंध्र ने	पाया	राज्य का दर्जा
11	कर्नूल	पाया	राजधानी के साथ
11	आंध्र ने	पाया	1 अक्टूबर 1953
11	कर्नूल	आंध्र ने पाया	राज्य का दर्जा
11	आंध्र ने	पाया कर्नूल	राजधानी के साथ
11	कर्नूल	आंध्र ने पाया	1 अक्टूबर 1953
11	दर्जा	पाया 1 अक्टूबर 1953	आंध्र ने
11	राज्य का दर्जा	आंध्र ने पाया	1 अक्टूबर 1953
12	दूसरा सीज़न	ज़ारी किया गया	1 अक्टूबर 2008
12	न्यूजीलैंड	ज़ारी किया गया	1 अक्टूबर 2008
12	ऑस्ट्रेलिया	ज़ारी किया गया	1 अक्टूबर 2008
12	1 अक्टूबर 2008	जारी किया गया	दूसरा सीज़न
12	न्यूजीलैंड	जारी किया गया	दूसरा सीज़न
12	ऑस्ट्रेलिया	जारी किया गया	दूसरा सीज़न
12	दूसरा सीज़न	ज़ारी किया गया 1 अक्टूबर 2008	न्यूजीलैंड
12	दूसरा सीज़न	ज़ारी किया गया 1 अक्टूबर 2008	ऑस्ट्रेलिया
12	न्यूजीलैंड	ज़ारी किया गया 1 अक्टूबर 2008	ऑस्ट्रेलिया
12	1 अक्टूबर 2008	जारी किया गया दूसरा सीज़न	न्यूजीलैंड
12	1 अक्टूबर 2008	जारी किया गया दूसरा सीज़न	ऑस्ट्रेलिया
12	न्यूजीलैंड	जारी किया गया दूसरा सीज़न	ऑस्ट्रेलिया
13	रॉबर्ट आइगर ने	लिया	स्थान
13	1 अक्टूबर को ,	लिया	रॉबर्ट आइगर ने
13	स्थान	property	माइकल आइजनर
13	स्थान	रॉबर्ट आइगर ने लिया	1 अक्टूबर को ,
14	यह देश	आजाद हुआ	1 अक्टूबर , 1960
14	शासन	आजाद हुआ	इंग्लैंड
14	1 अक्टूबर , 1960	हुआ	आजाद हुआ
14	यह देश	आजाद हुआ	इंग्लैंड के शासन
14	यह देश	आजाद हुआ	इंग्लैंड
14	1 अक्टूबर , 1960	यह देश आजाद हुआ	इंग्लैंड के शासन
14	1 अक्टूबर , 1960	यह देश आजाद हुआ	इंग्लैंड
14	शासन	आजाद हुआ इंग्लैंड	यह देश
14	इंग्लैंड के शासन	यह देश आजाद हुआ	इंग्लैंड
15	अंग्रेजों	भेज दिया गया	चन्द्रसिंह
15	1 अगस्त 1915	भेज दिया गया	अन्य गढ़वाली सैनिकों के साथ
15	फ्रांस	भेज दिया गया	अन्य गढ़वाली सैनिकों के साथ
15	1 अगस्त 1915	हुआ	भेज दिया गया
15	चन्द्रसिंह	भेज दिया गया	फ्रांस
15	चन्द्रसिंह	भेज दिया गया	अन्य गढ़वाली सैनिकों के साथ
15	चन्द्रसिंह	भेज दिया गया	अंग्रेजों
15	अंग्रेजों	भेज दिया गया चन्द्रसिंह	फ्रांस
15	अंग्रेजों	भेज दिया गया चन्द्रसिंह	अन्य गढ़वाली सैनिकों के साथ
15	1 अगस्त 1915	भेज दिया गया अन्य गढ़वाली सैनिकों के साथ	फ्रांस
15	1 अगस्त 1915	भेज दिया गया अन्य गढ़वाली सैनिकों के साथ	चन्द्रसिंह
15	अन्य गढ़वाली सैनिकों के साथ	फ्रांस भेज दिया गया	चन्द्रसिंह
15	चन्द्रसिंह	भेज दिया गया अन्य गढ़वाली सैनिकों के साथ	फ्रांस
16	इसे	घोषित किया गया	1 अप्रैल 1946
16	गोविन्द बल्लभ पन्त	बने	मुख्य मन्त्री
16	इसके पहले	बने	घोषित किया गया
16	1 अप्रैल 1946	घोषित किया गया	स्वायत्तशासी प्रान्त
16	इसे	घोषित किया गया	स्वायत्तशासी प्रान्त
16	गोविन्द बल्लभ पन्त	बने	इसके पहले मुख्य मन्त्री
16	इसे	घोषित किया गया 1 अप्रैल 1946	स्वायत्तशासी प्रान्त
16	मुख्य मन्त्री	गोविन्द बल्लभ पन्त बने	इसके पहले मुख्य मन्त्री
17	हिन्दी प्रचार सभा	एक आन्दोलन थी	जो आरम्भ हुई
17	एक आन्दोलन	आरम्भ हुई	स्वतन्त्रता आन्दोलन के साथ ही
17	स्वतन्त्रता आन्दोलन के साथ ही	property	भारत
17	हिन्दी प्रचार सभा	थी	एक आन्दोलन
